ID,대사 그룹 ID,대사 출력 순서,화자,화자 감정 상태,대사 번호,호감도 증감,대사 텍스트_KR,다음 ID
ITV_001,DG_ITV001_Ruby_Ask,1,Player,,1,,당신은 최근 이슈가 된 빌런에 대해 어떻게 생각하는 지 물었다.,DG_ITV001_Ruby_Response_Router
ITV_002,DG_ITV001_Ruby_Response,2,Ruby,증오,1,0,(압도적인 살기가 주위를 질식시키고 있다.),END
ITV_003,DG_ITV001_Ruby_Response,2,Ruby,경멸,1,-1,닥쳐. 관심없어.,END
ITV_004,DG_ITV001_Ruby_Response,2,Ruby,경멸,2,-1,다른 놈들이 뭘 하던 난 관심 없어.,END
ITV_005,DG_ITV001_Ruby_Response,2,Ruby,무관심,1,-1,재미없는 얘기 늘어놓지 마.,END
ITV_006,DG_ITV001_Ruby_Response,2,Ruby,무관심,2,-1,다른 놈들이 뭘 하는지 내가 왜 알아야 하지?,END
ITV_007,DG_ITV001_Ruby_Response,2,Ruby,흥미,1,-1,흥… 재미없네,END
ITV_008,DG_ITV001_Ruby_Response,2,Ruby,흥미,2,-1,"나한테 질문할 게 있어서 온 줄 알았는데, 착각이었나 보네.",END
ITV_009,DG_ITV001_Ruby_Response,2,Ruby,우호,1,-1,날 취재하러 온 거 아니었어?,END
ITV_010,DG_ITV001_Ruby_Response,2,Ruby,우호,2,-1,그게 누군데? 나한테 질문할 건 없고?,END
ITV_011,DG_ITV002_Ruby_Ask,1,Player,,1,,당신은 그녀가 충분한 힘을 가졌기 때문에 정의를 위해 싸우면 좋을 것이라고 하였다.,DG_ITV002_Ruby_Response_Router
ITV_012,DG_ITV002_Ruby_Response,2,Ruby,증오,1,0,…….허? 웃기지도 않아. 진심으로 하는 소리야? 난 정의라고 자칭하는 위선자들을 없애버리기 위해 싸우는 거야. 진심으로 하는 말이라면 내가 또 사람을 잘못 봤군.,END
ITV_013,DG_ITV002_Ruby_Response,2,Ruby,경멸,1,-1,"하, 정의? 웃기지 마. 그게 날 이렇게 만들었어.",END
ITV_014,DG_ITV002_Ruby_Response,2,Ruby,경멸,2,-1,나에게 죽여달라고 떼를 쓰는군.,END
ITV_015,DG_ITV002_Ruby_Response,2,Ruby,무관심,1,-1,또 이런 놈들인가.. 그냥 여기서 죽어주면 좋겠네.,END
ITV_016,DG_ITV002_Ruby_Response,2,Ruby,무관심,2,-1,쓰레기 같은 질문을 하네.,END
ITV_017,DG_ITV002_Ruby_Response,2,Ruby,흥미,1,-1,너도.. 똑같았네. 그 녀석들이랑 다를 바 없어.,END
ITV_018,DG_ITV002_Ruby_Response,2,Ruby,흥미,2,-1,정의라.. 그 이름을 달고 하는 짓을 네가 봤어야 하는 건데.,END
ITV_019,DG_ITV002_Ruby_Response,2,Ruby,우호,1,-14,,
ITV_020,DG_ITV002_Ruby_Response,2,Ruby,우호,2,-14,,
ITV_021,DG_ITV003_Ruby_Ask,1,Player,,1,,당신은 그녀의 취미를 알고 싶다고 하였다.,DG_ITV003_Ruby_Response_Router
ITV_022,DG_ITV003_Ruby_Response,2,Ruby,증오,1,0,(압도적인 살기가 주위를 질식시키고 있다.),END
