ID,이름,카테고리 (ENUM),최대 보유 개수,Is소모품,아이콘,툴팁,설명
I_CL_001,자동 보정 렌즈,Part,1,FALSE,I_CL_001,Perfect 노트 판정 범위가 0.1만큼 더 넓어진다.,사진이 어려우세요? 이것만 있으면 그런 고민 끝! 사진 찍을 타이밍을 알려드립니다! 카메라에 장착하면 촬영이 더 쉬워집니다.
I_CL_002,연속 촬영 렌즈,Part,1,FALSE,I_CL_002,촬영 시 내려오는 노트가 2개 증가한다. 노트 하나 당 획득하는 게이지 양이 50%로 적용된다.,한순간도 놓치고 싶지 않다면 지금 바로 구매하세요! 순식간에 여러장을 한번에! 카메라에 장착하면 여러 번 촬영할 수 있습니다.
I_CF_001,확장 조명 장치,Part,1,FALSE,I_CF_001,플래시 범위의 세로 길이가 0.5 증가한다.,온 세상을 밝힐 수 있는 힘! 카메라에 장착하면 플래시의 범위가 넓어집니다.
I_CF_002,광원 강화 장치,Part,1,FALSE,I_CF_002,플래시 범위의 가로 길이가 0.5 증가한다.,아마 이거라면 별까지도 닿을 수 있겠지. 카메라에 장착하면 플래시의 거리가 늘어납니다.
I_EQ_001,10년 전 신문 (1),Equipment,1,FALSE,I_EQ_001,루비의 감정 게이지를 3 감소시킨다.,10년 전에 발행된 신문. 쇼핑몰 화재 사건에 대한 내용이 적혀있다. 의외로 보존 상태가 양호하다. 잊고 싶지 않은 기억이 담겨 있는 것처럼.
I_EQ_002,비밀스러운 사진,Equipment,1,FALSE,I_EQ_002,루비의 감정 게이지를 1 감소시킨다.,루비의 비밀스러운 사생활이 담겨있는 사진. 핑크색 파자마를 입고 곰 인형을 껴안으며 침대를 뒹구는 모습이 찍혀있다.
I_EQ_003,곰 인형,Equipment,1,FALSE,I_EQ_003,루비의 감정 게이지를 1 증가시킨다.,평범한 곰 인형이다. 어딘가에 조여진 것처럼 가운데가 홀쭉하다.
I_EQ_004,10년 전 신문 (2),Equipment,1,FALSE,I_EQ_004,더스티 베일의 감정 게이지를 3 증가시킨다.,10년 전에 발행된 신문. 빌런 살해 사건에 대한 내용이 적혀있다. 의외로 보존 상태가 양호하다. 잊고 싶지 않은 기억이 담겨 있는 것처럼.
I_EQ_005,낡은 손거울,Equipment,1,FALSE,I_EQ_005,더스티 베일의 감정 게이지를 1 증가시킨다.,낡았지만 거울은 멀쩡하다. 이런 환경에서도 관리가 잘 된 것 같다.
I_EQ_006,혈흔이 묻은 종이 조각,Equipment,1,FALSE,I_EQ_006,더스티 베일의 감정 게이지를 3 감소시킨다.,찢어지고 더럽혀진 종이 조각이다. 무언가 쓰여 있지만 알아볼 수 없다.
I_PV_001,스프링 노트,Proviso,1,FALSE,I_PV_001,수집한 단서들의 정보를 확인한다.,아직 한번도 사용하지 않은 당신의 기자 수첩이다. 여러 정보들을 요약하여 적어놓기 좋아 보인다. 빌런과의 인터뷰를 위해 유용하게 써보자.
I_PV_002,낡은 일기장,Proviso,1,TRUE,I_PV_002,루비의 과거에 대한 인터뷰를 해금한다.,종이의 가장자리가 누렇게 변색된 낡은 일기장이다. 일기장 앞면의 이름 칸에는 삐뚤삐뚤한 글씨체로 ‘루비’ 라고 적혀있다.
I_PV_003,슬래그파 부하의 기록,Proviso,1,TRUE,I_PV_003,흑련에 대한 인터뷰를 해금한다.,핏자국이 살짝 묻어있는 노트이다. 커버가 많이 닳아있어 누구의 것인지 알 수 없다. 노트의 내부에는 한 조직에 대한 내용이 담겨있다.
I_PV_004,주택가에서 들리는 소문에 관한 메모,Proviso,1,TRUE,I_PV_004,루비의 비밀에 대한 인터뷰를 해금한다.,주택가 주민들의 인터뷰 내용이 담긴 메모이다. 소문이 말하는 인물은 한 명을 가리키고 있는 것 같다…
I_PV_005,오래된 사건 일지,Proviso,1,TRUE,I_PV_005,더스티 베일의 과거에 대한 인터뷰를 해금한다.,몇 년 전에 있었던 빌런 연쇄 살인 사건 기록이다. 맨 뒤에는 용의자 더스티 베일과 당시 실종된 에리나와 관계를 의심하는 내용이 적혀있다.
I_PV_006,조용했던 그 날 밤의 이야기,Proviso,1,TRUE,I_PV_006,더스티 베일의 기억에 대한 인터뷰를 해금한다.,아직 망가지지 않은 CCTV에 담긴 영상 파일이다. 유난히 어둡고 조용했던 날이 영상에 담겨있다.
I_PV_007,히어로와 대화 기록,Proviso,1,TRUE,I_PV_007,더스티 베일의 달라진 모습에 대한 인터뷰를 해금한다.,솔라가 나에게 한 말을 녹음한 기록이다. 그녀는 최근 달라진 듯한 더스티 베일에 대해 생각하고 있는 것 같다.
I_HI_001,붙이는 밴드,Heal,99,TRUE,I_HI_001,캐릭터의 체력을 10(고정 값) 회복한다.,어디에나 볼 수 있는 평범한 밴드. 접착력이 부족해 한번에 잘 붙여야 한다.
I_HI_002,진통제,Heal,99,TRUE,I_HI_002,캐릭터의 체력을 30(고정 값) 회복한다.,간편하게 먹을 수 있는 알약으로 된 진통제. 여태까지 받았던 고통이 잊혀진다.
I_HI_003,얇은 붕대,Heal,99,TRUE,I_HI_003,캐릭터의 체력을 50%(최대 체력 비례) 회복한다.,잘못하면 감다가 찢어질 수도 있을 것 같다.
I_HI_004,빨간 약,Heal,99,TRUE,I_HI_004,캐릭터의 체력을 100%(최대 체력 비례) 회복한다.,바르기만 해도 완치! 잠깐만 참으면 순식간에 나아요!
