인터뷰 ID,대사 그룹 ID,대사 출력 순서,화자,화자 감정 상태,대사 번호,호감도 증감,대사 텍스트_KR,다음 대사 그룹 ID
ITV_001,DG_ITV001_Ask,1,Player,,1,,당신은 그녀가 쓰고 있는 자루에 대해 물어봤다.,DG_ITV001_DustyVeil_Response_Router
ITV_002,DG_ITV001_DustyVeil_Response,2,DustyVeil,증오,1,0,(무서운 눈빛으로 노려보고 있다.),END
ITV_003,DG_ITV001_DustyVeil_Response,2,DustyVeil,경멸,1,1,그걸 네가 알 필요 있어?,END
ITV_004,DG_ITV001_DustyVeil_Response,2,DustyVeil,경멸,2,1,굳이 알려줘야 할까?,END
ITV_005,DG_ITV001_DustyVeil_Response,2,DustyVeil,무관심,1,1,알려주기 싫은데? 궁금해?,END
ITV_006,DG_ITV001_DustyVeil_Response,2,DustyVeil,무관심,2,1,그냥 쓰는 거야. 이유는 없어.,END
ITV_007,DG_ITV001_DustyVeil_Response,2,DustyVeil,흥미,1,1,글쎄? 알고 싶어?,END
ITV_008,DG_ITV001_DustyVeil_Response,2,DustyVeil,흥미,2,1,궁금해? 후후…,END
ITV_009,DG_ITV001_DustyVeil_Response,2,DustyVeil,우호,1,0,"내 전부이자, 나의 모든 것이지.",END
ITV_010,DG_ITV001_DustyVeil_Response,2,DustyVeil,우호,2,0,나를 이루는 모든 것. 이게 없으면 나도 없는 거야.,END
ITV_011,DG_ITV002_Ask,1,Player,,1,,당신은 그녀가 들고 있는 피 묻은 단검을 보고 몸을 떨었다.,DG_ITV002_DustyVeil_Response_Router
ITV_012,DG_ITV002_DustyVeil_Response,2,DustyVeil,증오,1,0,(무서운 눈빛으로 노려보고 있다.),END
ITV_013,DG_ITV002_DustyVeil_Response,2,DustyVeil,경멸,1,1,…귀엽네.,END
ITV_014,DG_ITV002_DustyVeil_Response,2,DustyVeil,경멸,2,1,그렇게 떠니까 마음 약해지잖아.,END
ITV_015,DG_ITV002_DustyVeil_Response,2,DustyVeil,무관심,1,1,뭐야? 이게 무서운 거야?,END
ITV_016,DG_ITV002_DustyVeil_Response,2,DustyVeil,무관심,2,1,이 정도에 놀라면 안 될텐데?,END
ITV_017,DG_ITV002_DustyVeil_Response,2,DustyVeil,흥미,1,1,귀엽네. 작은 동물 같아.,END
ITV_018,DG_ITV002_DustyVeil_Response,2,DustyVeil,흥미,2,1,"후후, 그런 모습 계속 보여줘.",END
ITV_019,DG_ITV002_DustyVeil_Response,2,DustyVeil,우호,1,0,그런 모습을 보여줘도 놔줄 수는 없는데…♡,END
ITV_020,DG_ITV002_DustyVeil_Response,2,DustyVeil,우호,2,0,"지금 그 모습, 너무 사랑스러워.",END
ITV_021,DG_ITV003_Ask,1,Player,,1,,당신은 그녀가 좋아하는 것이 무엇인지 물어봤다.,DG_ITV003_DustyVeil_Response_Router
ITV_022,DG_ITV003_DustyVeil_Response,2,DustyVeil,증오,1,0,(무서운 눈빛으로 노려보고 있다.),END
ITV_023,DG_ITV003_DustyVeil_Response,2,DustyVeil,경멸,1,1,"…처절하게 울부짖는 소리, 그리고 피.",END
ITV_024,DG_ITV003_DustyVeil_Response,2,DustyVeil,경멸,2,1,"빌런이 죽어가는 장면과, 흐르는 피.",END
ITV_025,DG_ITV003_DustyVeil_Response,2,DustyVeil,무관심,1,1,네가 흘리는 피.,END
ITV_026,DG_ITV003_DustyVeil_Response,2,DustyVeil,무관심,2,1,그렇게 겁먹은 모습.,END
ITV_027,DG_ITV003_DustyVeil_Response,2,DustyVeil,흥미,1,1,피와 비명 소리. 사람들이 왜 싫어하는지 모르겠다니까?,END
ITV_028,DG_ITV003_DustyVeil_Response,2,DustyVeil,흥미,2,1,"피를 만질 때, 삶을 실감해.",END
ITV_029,DG_ITV003_DustyVeil_Response,2,DustyVeil,우호,1,0,너의 모든 것. 후후… 언젠간 너로도 이 즐거움을 함께 느낄 수 있겠지?,END
ITV_030,DG_ITV003_DustyVeil_Response,2,DustyVeil,우호,2,0,너와 함께 하는 게 좋아. 이리로 올래?,END
ITV_031,DG_ITV004_Ask,1,Player,,1,,당신은 그녀에게 그런 낡은 칼로는 종이도 못 자를 것 같다고 말했다.,DG_ITV004_DustyVeil_Response_Router
ITV_032,DG_ITV004_DustyVeil_Response,2,DustyVeil,증오,1,0,(무서운 눈빛으로 노려보고 있다.),END
ITV_033,DG_ITV004_DustyVeil_Response,2,DustyVeil,경멸,1,-1,"제정신이 아닌가 보네. 뭐, 곧 죽을 건데 무슨 상관이겠어?",END
ITV_034,DG_ITV004_DustyVeil_Response,2,DustyVeil,경멸,2,-1,"뭐, 곧 체험해보면 알게 될거야.",END
ITV_035,DG_ITV004_DustyVeil_Response,2,DustyVeil,무관심,1,-1,그래 보여? 한번 네 몸으로 실험해볼까?,END
ITV_036,DG_ITV004_DustyVeil_Response,2,DustyVeil,무관심,2,-1,이래 보여도 엄청 잘 드는데?,END
ITV_037,DG_ITV004_DustyVeil_Response,2,DustyVeil,흥미,1,-1,흠… 지금까지는 뭐든 잘 잘렸는데? 알고 싶어?,END
ITV_038,DG_ITV004_DustyVeil_Response,2,DustyVeil,흥미,2,-1,말은 그렇게 해도… 궁금한거지?,END
ITV_039,DG_ITV004_DustyVeil_Response,2,DustyVeil,우호,1,-1,그러면 새로운 칼을 살까? 그리고 너에게 한 번 써보는 거지. 후후. 농담이야.,END
ITV_040,DG_ITV004_DustyVeil_Response,2,DustyVeil,우호,2,-1,걱정 마. 이건 완벽한 칼이니까. 너에게도 충분할거야. 후후.,END
ITV_041,DG_ITV005_Ask,1,Player,,1,,당신은 그녀에게 죽은 사람들은 어떤 생각을 하고 있을지 상상해본 적 있냐고 물어봤다.,DG_ITV005_DustyVeil_Response_Router
ITV_042,DG_ITV005_DustyVeil_Response,2,DustyVeil,증오,1,0,(무서운 눈빛으로 노려보고 있다.),END
ITV_043,DG_ITV005_DustyVeil_Response,2,DustyVeil,경멸,1,-1,별로 궁금하지도 않은데. 시체들이 무슨 말을 하겠어?,END
ITV_044,DG_ITV005_DustyVeil_Response,2,DustyVeil,경멸,2,-1,네가 그렇게 되면 알겠지. 안 그래?,END
ITV_045,DG_ITV005_DustyVeil_Response,2,DustyVeil,무관심,1,-1,그런 걸 물어보는 이유를 모르겠네. 직접 체험해볼 생각이야?,END
ITV_046,DG_ITV005_DustyVeil_Response,2,DustyVeil,무관심,2,-1,무의미한 상상은 시간 낭비야.,END
ITV_047,DG_ITV005_DustyVeil_Response,2,DustyVeil,흥미,1,-1,굳이 이런 말을 한다는 건… 각오는 된거지?,END
ITV_048,DG_ITV005_DustyVeil_Response,2,DustyVeil,흥미,2,-1,혹시… 죽길 바라는 거야? 소원을 들어줄게.,END
ITV_049,DG_ITV005_DustyVeil_Response,2,DustyVeil,우호,1,-1,"큰 감흥은 없는데, 그 말도 마음에 안 들고",END
ITV_050,DG_ITV005_DustyVeil_Response,2,DustyVeil,우호,2,-1,그런 질문을 듣고 나니 조금 속상한데.,END
